Episode 310/1000  Total Reward: 290.00  Epsilon: 0.0423
Episode 311/1000  Total Reward: 298.00  Epsilon: 0.0421
Episode 312/1000  Total Reward: 218.00  Epsilon: 0.0419
Episode 313/1000  Total Reward: 298.00  Epsilon: 0.0417
Episode 314/1000  Total Reward: 208.00  Epsilon: 0.0414
Episode 315/1000  Total Reward: 258.00  Epsilon: 0.0412
Episode 316/1000  Total Reward: 216.00  Epsilon: 0.0410
Episode 317/1000  Total Reward: 294.00  Epsilon: 0.0408
Episode 318/1000  Total Reward: 174.00  Epsilon: 0.0406
Episode 319/1000  Total Reward: 160.00  Epsilon: 0.0404
Episode 320/1000  Total Reward: 200.00  Epsilon: 0.0402
Episode 321/1000  Total Reward: 256.00  Epsilon: 0.0400
Episode 322/1000  Total Reward: 300.00  Epsilon: 0.0398
Episode 323/1000  Total Reward: 298.00  Epsilon: 0.0396
Episode 324/1000  Total Reward: 296.00  Epsilon: 0.0394
Episode 325/1000  Total Reward: 300.00  Epsilon: 0.0392
Episode 326/1000  Total Reward: 214.00  Epsilon: 0.0390
Episode 327/1000  Total Reward: 300.00  Epsilon: 0.0388
Episode 328/1000  Total Reward: 296.00  Epsilon: 0.0386
Episode 329/1000  Total Reward: 176.00  Epsilon: 0.0384
Episode 330/1000  Total Reward: 292.00  Epsilon: 0.0383
Episode 331/1000  Total Reward: 294.00  Epsilon: 0.0381
Episode 332/1000  Total Reward: 214.00  Epsilon: 0.0379
Episode 333/1000  Total Reward: 284.00  Epsilon: 0.0377
Episode 334/1000  Total Reward: 258.00  Epsilon: 0.0375
Episode 335/1000  Total Reward: 254.00  Epsilon: 0.0373
Episode 336/1000  Total Reward: 256.00  Epsilon: 0.0371
Episode 337/1000  Total Reward: 216.00  Epsilon: 0.0369
Episode 338/1000  Total Reward: 292.00  Epsilon: 0.0367
Episode 339/1000  Total Reward: 294.00  Epsilon: 0.0366
Episode 340/1000  Total Reward: 252.00  Epsilon: 0.0364
Episode 341/1000  Total Reward: 256.00  Epsilon: 0.0362
Episode 342/1000  Total Reward: 256.00  Epsilon: 0.0360
Episode 343/1000  Total Reward: 298.00  Epsilon: 0.0358
Episode 344/1000  Total Reward: 256.00  Epsilon: 0.0357
Episode 345/1000  Total Reward: 290.00  Epsilon: 0.0355
Episode 346/1000  Total Reward: 296.00  Epsilon: 0.0353
Episode 347/1000  Total Reward: 300.00  Epsilon: 0.0351
Episode 348/1000  Total Reward: 252.00  Epsilon: 0.0350
Episode 349/1000  Total Reward: 290.00  Epsilon: 0.0348
Episode 350/1000  Total Reward: 296.00  Epsilon: 0.0346
Episode 351/1000  Total Reward: 218.00  Epsilon: 0.0344
Episode 352/1000  Total Reward: 258.00  Epsilon: 0.0343
Episode 353/1000  Total Reward: 220.00  Epsilon: 0.0341
Episode 354/1000  Total Reward: 212.00  Epsilon: 0.0339
Episode 355/1000  Total Reward: 254.00  Epsilon: 0.0337
Episode 356/1000  Total Reward: 294.00  Epsilon: 0.0336
Episode 357/1000  Total Reward: 286.00  Epsilon: 0.0334
Episode 358/1000  Total Reward: 252.00  Epsilon: 0.0332
Episode 359/1000  Total Reward: 296.00  Epsilon: 0.0331
Episode 360/1000  Total Reward: 298.00  Epsilon: 0.0329
Episode 361/1000  Total Reward: 294.00  Epsilon: 0.0327
